Country/Region,Confirmed,Date,Variation_Active_1week,Variation_Active_2weeks,Variation_Active_1day,Started declining_days,max_variation,index
Niger,914.0,2020-05-19,0.2138364779874214,0.3131868131868132,0.10714285714285714,2 weeks ago,0.3131868131868132,56
Bosnia and Herzegovina,2321.0,2020-05-19,0.23825887743413515,0.3043933054393305,0.0594059405940594,2 weeks ago,0.3043933054393305,57
Comoros,11.0,2020-05-19,0.3,-1.3333333333333333,0.0,1 week ago,0.3,58
Bermuda,125.0,2020-05-19,0.1914893617021277,0.2962962962962963,0.02564102564102564,2 weeks ago,0.2962962962962963,59
Malaysia,6978.0,2020-05-19,0.13617021276595745,0.28771929824561404,-0.0041220115416323155,2 weeks ago,0.28771929824561404,60
Czech Republic,8647.0,2020-05-19,0.14102984585109873,0.2791081750619323,0.01095166163141994,2 weeks ago,0.2791081750619323,61
Serbia,10733.0,2020-05-19,0.12891172349369456,0.2784369357750838,0.013053448579996471,2 weeks ago,0.2784369357750838,62
Uzbekistan,2855.0,2020-05-19,-0.01002004008016032,0.27586206896551724,-0.08620689655172414,2 weeks ago,0.27586206896551724,63
Burkina Faso,796.0,2020-05-19,0.2677165354330709,-0.010869565217391304,0.0,1 week ago,0.2677165354330709,64
Tajikistan,1936.0,2020-05-19,-0.7711864406779662,-3.3541666666666665,0.2571090047393365,1 day ago,0.2571090047393365,65
Rwanda,308.0,2020-05-19,0.2556390977443609,0.25,-0.05319148936170213,2 weeks ago,0.2556390977443609,66
Fiji,18.0,2020-05-19,0.25,0.25,0.0,2 weeks ago,0.25,67
Uruguay,738.0,2020-05-19,0.16265060240963855,0.24864864864864866,0.060810810810810814,2 weeks ago,0.24864864864864866,68
Eswatini,208.0,2020-05-19,0.2272727272727273,-0.12264150943396225,0.048,1 week ago,0.2272727272727273,69
Romania,17191.0,2020-05-19,0.16965167113242138,0.21930522407849376,0.016371533578349484,2 weeks ago,0.21930522407849376,70
Burma,193.0,2020-05-19,0.15306122448979592,0.2169811320754717,0.011904761904761904,2 weeks ago,0.2169811320754717,71
Liberia,233.0,2020-05-19,0.19811320754716985,0.07608695652173914,-0.011904761904761904,2 weeks ago,0.19811320754716985,72
Albania,949.0,2020-05-19,-0.07975460122699386,0.1963470319634703,0.07368421052631577,2 weeks ago,0.1963470319634703,73
Bahamas,96.0,2020-05-19,0.02325581395348837,0.19230769230769232,0.0,2 weeks ago,0.19230769230769232,74
Libya,68.0,2020-05-19,0.09090909090909093,0.1891891891891892,-0.1111111111111111,2 weeks ago,0.1891891891891892,75
Sri Lanka,1027.0,2020-05-19,0.1264591439688716,0.18214936247723126,-0.0589622641509434,2 weeks ago,0.18214936247723126,76
Hungary,3556.0,2020-05-19,0.10845295055821373,0.15855494229804315,-0.002390914524805738,2 weeks ago,0.15855494229804315,77
Dominican Republic,13223.0,2020-05-19,0.1522605469286794,0.008358784761292395,-0.08647411060232478,1 week ago,0.1522605469286794,78
Northern Mariana Islands,21.0,2020-05-19,-0.2,0.0,0.14285714285714285,1 day ago,0.14285714285714285,79
Guinea,2863.0,2020-05-19,0.1026512576478586,-0.013046815042210284,0.12986156888595912,1 week ago,0.12986156888595912,80
Costa Rica,882.0,2020-05-19,-0.06498194945848375,0.12202380952380952,-0.0498220640569395,2 weeks ago,0.12202380952380952,81
Kyrgyzstan,1243.0,2020-05-19,-0.04746835443037975,-0.4267241379310345,0.11733333333333333,1 day ago,0.11733333333333333,82
