Country/Region,Bm,DATE,Feature
Serbia,3.0,2020-04-15,Measure
Seychelles,3.0,2020-04-15,Measure
Sierra Leone,3.0,2020-04-15,Measure
Slovakia,3.0,2020-04-15,Measure
Slovenia,3.0,2020-04-15,Measure
Solomon Islands,3.0,2020-04-15,Measure
Somalia,3.0,2020-04-15,Measure
South Africa,3.0,2020-04-15,Measure
South Korea,3.0,2020-04-15,Measure
South Sudan,3.0,2020-04-15,Measure
Spain,3.0,2020-04-15,Measure
Sri Lanka,3.0,2020-04-15,Measure
Sudan,3.0,2020-04-15,Measure
Suriname,3.0,2020-04-15,Measure
Sweden,3.0,2020-04-15,Measure
Switzerland,3.0,2020-04-15,Measure
Syria,3.0,2020-04-15,Measure
Tajikistan,3.0,2020-04-15,Measure
Tanzania,3.0,2020-04-15,Measure
Thailand,3.0,2020-04-15,Measure
Togo,3.0,2020-04-15,Measure
Tonga,3.0,2020-04-15,Measure
Tunisia,3.0,2020-04-15,Measure
Turkey,3.0,2020-04-15,Measure
Turkmenistan,3.0,2020-04-15,Measure
Tuvalu,3.0,2020-04-15,Measure
Uganda,3.0,2020-04-15,Measure
Ukraine,3.0,2020-04-15,Measure
United Arab Emirates,3.0,2020-04-15,Measure
United Kingdom,3.0,2020-04-15,Measure
United States,3.0,2020-04-15,Measure
Uruguay,3.0,2020-04-15,Measure
Uzbekistan,3.0,2020-04-15,Measure
Vanuatu,3.0,2020-04-15,Measure
Venezuela,3.0,2020-04-15,Measure
Vietnam,3.0,2020-04-15,Measure
Yemen,3.0,2020-04-15,Measure
Zambia,3.0,2020-04-15,Measure
Zimbabwe,3.0,2020-04-15,Measure
kenya,3.0,2020-04-15,Measure
Afghanistan,3.0,2020-04-13,Measure
Albania,3.0,2020-04-13,Measure
Algeria,3.0,2020-04-13,Measure
Angola,2.0,2020-04-13,Measure
Antigua and Barbuda,1.0,2020-04-13,Measure
Argentina,2.0,2020-04-13,Measure
Armenia,3.0,2020-04-13,Measure
Australia,2.0,2020-04-13,Measure
Austria,2.0,2020-04-13,Measure
Azerbaijan,2.0,2020-04-13,Measure
Bahamas,1.0,2020-04-13,Measure
Bahrain,3.0,2020-04-13,Measure
Bangladesh,3.0,2020-04-13,Measure
Barbados,1.0,2020-04-13,Measure
Belarus,3.0,2020-04-13,Measure
Belgium,1.0,2020-04-13,Measure
Belize,3.0,2020-04-13,Measure
Benin,2.0,2020-04-13,Measure
Bhutan,3.0,2020-04-13,Measure
Bolivia,2.0,2020-04-13,Measure
Bosnia and Herzegovina,3.0,2020-04-13,Measure
Botswana,3.0,2020-04-13,Measure
Brazil,3.0,2020-04-13,Measure
Brunei,3.0,2020-04-13,Measure
Bulgaria,3.0,2020-04-13,Measure
Burkina Faso,3.0,2020-04-13,Measure
Burundi,3.0,2020-04-13,Measure
Cabo Verde,3.0,2020-04-13,Measure
Cambodia,3.0,2020-04-13,Measure
Cameroon,3.0,2020-04-13,Measure
Canada,3.0,2020-04-13,Measure
Central African Republic,3.0,2020-04-13,Measure
Chad,2.0,2020-04-13,Measure
Chile,2.0,2020-04-13,Measure
China,3.0,2020-04-13,Measure
"China, Hong Kong Special Administrative Region",3.0,2020-04-13,Measure
Colombia,2.0,2020-04-13,Measure
Comoros,2.0,2020-04-13,Measure
Congo (Brazzaville),3.0,2020-04-13,Measure
Costa Rica,2.0,2020-04-13,Measure
Cote d'Ivoire,2.0,2020-04-13,Measure
Croatia,2.0,2020-04-13,Measure
Cuba,2.0,2020-04-13,Measure
Cyprus,3.0,2020-04-13,Measure
Czech republic,3.0,2020-04-13,Measure
Czechia,3.0,2020-04-13,Measure
Denmark,2.0,2020-04-13,Measure
Djibouti,3.0,2020-04-13,Measure
Dominica,3.0,2020-04-13,Measure
Dominican Republic,2.0,2020-04-13,Measure
Ecuador,3.0,2020-04-13,Measure
Egypt,2.0,2020-04-13,Measure
El Salvador,3.0,2020-04-13,Measure
Equatorial Guinea,3.0,2020-04-13,Measure
Eritrea,3.0,2020-04-13,Measure
Estonia,2.0,2020-04-13,Measure
Eswatini,3.0,2020-04-13,Measure
Ethiopia,2.0,2020-04-13,Measure
Fiji,2.0,2020-04-13,Measure
Finland,2.0,2020-04-13,Measure
France,2.0,2020-04-13,Measure
Gabon,2.0,2020-04-13,Measure
Gambia,3.0,2020-04-13,Measure
Georgia,3.0,2020-04-13,Measure
Germany,3.0,2020-04-13,Measure
Ghana,2.0,2020-04-13,Measure
Greece,3.0,2020-04-13,Measure
Grenada,3.0,2020-04-13,Measure
Guatemala,2.0,2020-04-13,Measure
Guinea,3.0,2020-04-13,Measure
Guinea-Bissau,3.0,2020-04-13,Measure
Guyana,3.0,2020-04-13,Measure
Haiti,3.0,2020-04-13,Measure
Honduras,2.0,2020-04-13,Measure
Hungary,3.0,2020-04-13,Measure
Iceland,3.0,2020-04-13,Measure
India,3.0,2020-04-13,Measure
Indonesia,3.0,2020-04-13,Measure
Iran,3.0,2020-04-13,Measure
Iraq,3.0,2020-04-13,Measure
Ireland,3.0,2020-04-13,Measure
Israel,3.0,2020-04-13,Measure
Italy,2.0,2020-04-13,Measure
Jamaica,3.0,2020-04-13,Measure
Japan,3.0,2020-04-13,Measure
Jordan,3.0,2020-04-13,Measure
Kazakhstan,3.0,2020-04-13,Measure
Kenya,3.0,2020-04-13,Measure
Kiribati,3.0,2020-04-13,Measure
Kuwait,2.0,2020-04-13,Measure
Kyrgyzstan,3.0,2020-04-13,Measure
Lao PDR,3.0,2020-04-13,Measure
Latvia,2.0,2020-04-13,Measure
Lebanon,3.0,2020-04-13,Measure
Lesotho,3.0,2020-04-13,Measure
Liberia,3.0,2020-04-13,Measure
Libya,3.0,2020-04-13,Measure
Liechtenstein,3.0,2020-04-13,Measure
Lithuania,3.0,2020-04-13,Measure
Luxembourg,3.0,2020-04-13,Measure
Madagascar,3.0,2020-04-13,Measure
Malawi,2.0,2020-04-13,Measure
Malaysia,2.0,2020-04-13,Measure
Maldives,2.0,2020-04-13,Measure
Mali,3.0,2020-04-13,Measure
Malta,3.0,2020-04-13,Measure
Marshall Islands,3.0,2020-04-13,Measure
Mauritania,3.0,2020-04-13,Measure
Mauritius,3.0,2020-04-13,Measure
Mexico,3.0,2020-04-13,Measure
Micronesia,3.0,2020-04-13,Measure
Moldova,3.0,2020-04-13,Measure
Moldova Republic of,3.0,2020-04-13,Measure
Mongolia,3.0,2020-04-13,Measure
Montenegro,3.0,2020-04-13,Measure
Morocco,3.0,2020-04-13,Measure
Mozambique,2.0,2020-04-13,Measure
Myanmar,3.0,2020-04-13,Measure
Namibia,3.0,2020-04-13,Measure
Nauru,3.0,2020-04-13,Measure
Nepal,2.0,2020-04-13,Measure
Netherlands,3.0,2020-04-13,Measure
New Zealand,3.0,2020-04-13,Measure
Nicaragua,2.0,2020-04-13,Measure
Niger,3.0,2020-04-13,Measure
Nigeria,3.0,2020-04-13,Measure
North Macedonia,3.0,2020-04-13,Measure
Norway,3.0,2020-04-13,Measure
Oman,3.0,2020-04-13,Measure
Pakistan,3.0,2020-04-13,Measure
Palau,3.0,2020-04-13,Measure
Palestine,3.0,2020-04-13,Measure
Panama,3.0,2020-04-13,Measure
Papua New Guinea,1.0,2020-04-13,Measure
Paraguay,2.0,2020-04-13,Measure
Peru,1.0,2020-04-13,Measure
Philippines,2.0,2020-04-13,Measure
Poland,2.0,2020-04-13,Measure
Portugal,3.0,2020-04-13,Measure
Qatar,3.0,2020-04-13,Measure
Republic of the Congo,3.0,2020-04-13,Measure
Romania,2.0,2020-04-13,Measure
Russia,1.0,2020-04-13,Measure
Rwanda,3.0,2020-04-13,Measure
Saint Kitts and Nevis,3.0,2020-04-13,Measure
Saint Lucia,3.0,2020-04-13,Measure
Saint Vincent and the Grenadines,3.0,2020-04-13,Measure
Samoa,3.0,2020-04-13,Measure
San Marino,3.0,2020-04-13,Measure
Sao Tome and Principe,3.0,2020-04-13,Measure
Saudi Arabia,2.0,2020-04-13,Measure
Senegal,1.0,2020-04-13,Measure
Serbia,3.0,2020-04-13,Measure
Seychelles,2.0,2020-04-13,Measure
Sierra Leone,3.0,2020-04-13,Measure
Slovakia,3.0,2020-04-13,Measure
Slovenia,3.0,2020-04-13,Measure
Solomon Islands,3.0,2020-04-13,Measure
Somalia,3.0,2020-04-13,Measure
South Africa,3.0,2020-04-13,Measure
