Country/Region,Current Value,Current Bm,Previous Value,Previous Bm,DATE_UPDATE,FEATURE
Mexico,0.0048,3.0,0.006,3.0,2020-04-16,Office Presence
Mongolia,0.5054,2.0,0.5269,2.0,2020-04-16,Office Presence
Morocco,0.0153,3.0,0.0153,3.0,2020-04-16,Office Presence
Mozambique,0.1046,3.0,0.2903,3.0,2020-04-16,Office Presence
Netherlands,0.0399,3.0,0.0353,3.0,2020-04-16,Office Presence
New Zealand,0.0028,3.0,0.0028,3.0,2020-04-16,Office Presence
Northern Mariana Islands,0.6667,2.0,0.5556,2.0,2020-04-16,Office Presence
Norway,0.0092,3.0,0.0103,3.0,2020-04-16,Office Presence
Oman,0.0,3.0,0.0114,3.0,2020-04-16,Office Presence
Pakistan,0.0,3.0,0.0211,3.0,2020-04-16,Office Presence
Paraguay,0.0057,3.0,0.0057,3.0,2020-04-16,Office Presence
Peru,0.0125,3.0,0.0137,3.0,2020-04-16,Office Presence
Philippines,0.0075,3.0,0.0078,3.0,2020-04-16,Office Presence
Poland,0.0178,3.0,0.0326,3.0,2020-04-16,Office Presence
Portugal,0.0033,3.0,0.0075,3.0,2020-04-16,Office Presence
Qatar,0.0,3.0,0.0401,3.0,2020-04-16,Office Presence
Republic of the Congo,0.0,3.0,0.0,3.0,2020-04-16,Office Presence
Romania,0.0342,3.0,0.0273,3.0,2020-04-16,Office Presence
Russian Federation,0.0328,3.0,0.0297,3.0,2020-04-16,Office Presence
Rwanda,0.0,3.0,0.0,3.0,2020-04-16,Office Presence
Saudi Arabia,0.0,3.0,0.0048,3.0,2020-04-16,Office Presence
Senegal,0.2174,3.0,0.1739,3.0,2020-04-16,Office Presence
Serbia,0.0273,3.0,0.0156,3.0,2020-04-16,Office Presence
Singapore,0.0712,3.0,0.0868,3.0,2020-04-16,Office Presence
Slovakia,0.0069,3.0,0.0382,3.0,2020-04-16,Office Presence
Slovenia,0.0331,3.0,0.0199,3.0,2020-04-16,Office Presence
South Africa,0.0008,3.0,0.0012,3.0,2020-04-16,Office Presence
South Korea,0.4115,2.0,0.3948,2.0,2020-04-16,Office Presence
Spain,0.0047,3.0,0.0023,3.0,2020-04-16,Office Presence
Sri Lanka,0.0019,3.0,0.0057,3.0,2020-04-16,Office Presence
Sweden,0.0327,3.0,0.1804,3.0,2020-04-16,Office Presence
Switzerland,0.006,3.0,0.0284,3.0,2020-04-16,Office Presence
Syria,0.0,3.0,0.0488,3.0,2020-04-16,Office Presence
Taiwan,0.6969,2.0,0.6181,2.0,2020-04-16,Office Presence
Tanzania,0.0,3.0,0.0,3.0,2020-04-16,Office Presence
Thailand,0.2675,3.0,0.1764,3.0,2020-04-16,Office Presence
Trinidad and Tobago,0.0152,3.0,0.0379,3.0,2020-04-16,Office Presence
Tunisia,0.0023,3.0,0.0023,3.0,2020-04-16,Office Presence
Turkey,0.0622,3.0,0.0568,3.0,2020-04-16,Office Presence
Ukraine,0.0371,3.0,0.0402,3.0,2020-04-16,Office Presence
United Arab Emirates,0.0,3.0,0.01,3.0,2020-04-16,Office Presence
United Kingdom,0.0053,3.0,0.006,3.0,2020-04-16,Office Presence
United States,0.0418,3.0,0.0505,3.0,2020-04-16,Office Presence
Uzbekistan,0.0109,3.0,0.0435,3.0,2020-04-16,Office Presence
Venezuela,0.0035,3.0,0.0177,3.0,2020-04-16,Office Presence
Vietnam,0.2846,3.0,0.1891,3.0,2020-04-16,Office Presence
Zambia,0.0,3.0,0.3333,3.0,2020-04-16,Office Presence
